"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","industry","Summary Quote",
"AREX","Approach Resources Inc.","29.16","1133446400.64","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/arex",
"APRI","Apricus Biosciences, Inc","3.07","90860109.89","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apri",
"ARCW","ARC Group Worldwide, Inc.","7.09","40219918.03","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arcw",
"ABIO","ARCA biopharma, Inc.","0.345","5043761.31","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/abio",
"ACGL","Arch Capital Group Ltd.","43","5861535927","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/acgl",
"ACAT","Arctic Cat Inc.","40.22","528792409.78","n/a","1990","n/a","n/a","http://www.nasdaq.com/symbol/acat",
"ARDNA","Arden Group, Inc.","99.7","306178700","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ardna",
"ARNA","Arena Pharmaceuticals, Inc.","8.76","1899325277.04","n/a","2000","n/a","n/a","http://www.nasdaq.com/symbol/arna",
"ARCC","Ares Capital Corporation","17.42","4320608477.9","n/a","1999","n/a","n/a","http://www.nasdaq.com/symbol/arcc",
"AGII","Argo Group International Holdings, Ltd.","33.29","841074280.17","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agii",
"AGIIL","Argo Group International Holdings, Ltd.","25.19","0","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/agiil",
"ARIA","ARIAD Pharmaceuticals, Inc.","24.73","4110240351.52","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/aria",
"ARKR","Ark Restaurants Corp.","16.63","53961772.35","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arkr",
"ABFS","Arkansas Best Corporation","7.93","203102723.85","n/a","1992","n/a","n/a","http://www.nasdaq.com/symbol/abfs",
"ARMH","ARM Holdings, plc","28.61","13132923830.4","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/armh",
"ARTX","Arotech Corporation","0.9","14345766.9","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/artx",
"ARQL","ArQule, Inc.","2.68","166908347.12","n/a","1996","n/a","n/a","http://www.nasdaq.com/symbol/arql",
"ARRY","Array BioPharma Inc.","5.555","511726844.42","n/a","2000","n/a","n/a","http://www.nasdaq.com/symbol/arry",
"ARRS","Arris Group Inc","12.65","1432567314.2","n/a","1993","n/a","n/a","http://www.nasdaq.com/symbol/arrs",
"AROW","Arrow Financial Corporation","25.12","301502473.44","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arow",
"ARWR","Arrowhead Research Corporation","2.6","29408121.6","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/arwr",
"ARTNA","Artesian Resources Corporation","23.56","204073939.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/artna",
"ARTC","ArthroCare Corporation","32.42","899116179.6","n/a","1996","n/a","n/a","http://www.nasdaq.com/symbol/artc",
"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","6.3899","25788690.6948","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/artw",
"ARUN","Aruba Networks, Inc.","20.81","2334852637.09","n/a","2007","n/a","n/a","http://www.nasdaq.com/symbol/arun",
"ASBB","ASB Bancorp, Inc.","15.52","86672231.52","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asbb",
"ASNA","Ascena Retail Group, Inc.","20.99","3257927397.89","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asna",
"ASCMA","Ascent Capital Group, Inc.","55.44","787228817.76","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/ascma",
"ASTI","Ascent Solar Technologies, Inc.","1.07","63827990.96","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asti",
"AERL","Asia Entertainment & Resources Ltd","2.91","123532887.24","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/aerl",
"APWC","Asia Pacific Wire & Cable Corporation Limited","2.85","39417691.65","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/apwc",
"ASIA","AsiaInfo-Linkage, Inc.","10.68","774503923.92","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asia",
"ASMI","ASM International N.V.","35.04","1926044380.8","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/asmi",
"ASML","ASML Holding N.V.","55.01","22454539436.37","n/a","1995","n/a","n/a","http://www.nasdaq.com/symbol/asml",
"AZPN","Aspen Technology, Inc.","24.52","2286173495.84","n/a","1994","n/a","n/a","http://www.nasdaq.com/symbol/azpn",
"APPY","AspenBio Pharma, Inc.","2.04","15741619.2","n/a","n/a","n/a","n/a","http://www.nasdaq.com/symbol/appy",
"AACC","Asset Acceptance Capital Corp.","7.77","238776062.7","n/a","2004","n/a","n/a","http://www.nasdaq.com/symbol/aacc",
